escenario,N,media,desv_est,p5,mediana,p95
aleatorizacion,1000,-.0004050044030228,.021962963,-.037662733,.000043750784,.034869604
seleccion,1000,3.940895963191986,.015928358,3.915118,3.9414473,3.9660873
