omitted_state,year,gap
Colorado,1970,7.27520057678224
Colorado,1971,2.314701713562044
Colorado,1972,-.9572019042968662
Colorado,1973,.2306020812988407
Colorado,1974,.3204980087280376
Colorado,1975,-.0635011367797773
Colorado,1976,-.5385999145507867
Colorado,1977,-.4004987182617015
Colorado,1978,-.2642001419067412
Colorado,1979,-.5990998764037982
Colorado,1980,.0664963531494323
Colorado,1981,-.9738989791869983
Colorado,1982,-1.495699722290041
Colorado,1983,.1673050079345728
Colorado,1984,1.828500953674336
Colorado,1985,.5480040130615436
Colorado,1986,1.367094268798823
Colorado,1987,-.9132974395751887
Colorado,1988,-.0812996139526376
Colorado,1989,-6.970495895385739
Colorado,1990,-8.488596855163564
Colorado,1991,-12.2263035583496
Colorado,1992,-13.87939939880371
Colorado,1993,-17.98069818115233
Colorado,1994,-22.8731996307373
Colorado,1995,-23.81449886322022
Colorado,1996,-24.85600108337403
Colorado,1997,-27.08580080413819
Colorado,1998,-24.52760035705566
Colorado,1999,-28.10689949798584
Colorado,2000,-26.92030134582519
Connecticut,1970,7.100599853515618
Connecticut,1971,2.727801292419443
Connecticut,1972,-.186002639770507
Connecticut,1973,-1.089196594238288
Connecticut,1974,-.046402633666986
Connecticut,1975,.1586986846923821
Connecticut,1976,.1818013229370194
Connecticut,1977,1.0568009185791
Connecticut,1978,1.542900115966788
Connecticut,1979,-.7792993240356481
Connecticut,1980,.1384967041015557
Connecticut,1981,-1.575999992370612
Connecticut,1982,-1.328899703979502
Connecticut,1983,-.1006961669921935
Connecticut,1984,1.979601333618163
Connecticut,1985,.1035037460327004
Connecticut,1986,.5599940185546757
Connecticut,1987,-1.542698066711424
Connecticut,1988,-.2556994628906182
Connecticut,1989,-6.346497192382813
Connecticut,1990,-8.941897827148438
Connecticut,1991,-13.03850262451172
Connecticut,1992,-13.6975004272461
Connecticut,1993,-17.64339802932739
Connecticut,1994,-22.19149973678589
Connecticut,1995,-21.77789907836915
Connecticut,1996,-22.80540015411377
Connecticut,1997,-23.78060123443603
Connecticut,1998,-21.72709986495971
Connecticut,1999,-26.13779943847656
Connecticut,2000,-25.34610107803346
Montana,1970,4.895099166870111
Montana,1971,1.815401306152324
Montana,1972,-.9365038299560524
Montana,1973,-2.16439590454101
Montana,1974,-.6745026550293005
Montana,1975,.2061983489990098
Montana,1976,.1136016693115209
Montana,1977,1.435600479125981
Montana,1978,2.236999893188468
Montana,1979,-1.446598800659189
Montana,1980,.0162965545654146
Montana,1981,-1.803500350952149
Montana,1982,-.6829991760254046
Montana,1983,-.5396968688964989
Montana,1984,1.929701156616204
Montana,1985,-.5976965866088904
Montana,1986,-.9433056106567506
Montana,1987,-3.7074984664917
Montana,1988,-2.252699821472177
Montana,1989,-7.747697616577142
Montana,1990,-9.629298728942871
Montana,1991,-13.55070195007325
Montana,1992,-13.12390083312988
Montana,1993,-16.89489782714844
Montana,1994,-20.71829990386964
Montana,1995,-19.59009954833985
Montana,1996,-20.85529958343507
Montana,1997,-21.34010134124756
Montana,1998,-18.86680002593994
Montana,1999,-24.34209992980958
Montana,2000,-24.00700117492676
Nevada,1970,7.394598434448227
Nevada,1971,1.441401718139659
Nevada,1972,-2.792802978515624
Nevada,1973,1.23660166168213
Nevada,1974,2.567298980712891
Nevada,1975,3.113296936035141
Nevada,1976,-.8329009399413962
Nevada,1977,-1.506697097778328
Nevada,1978,-.8791016540527465
Nevada,1979,-.8010994644165095
Nevada,1980,.0607958068847552
Nevada,1981,-1.822699783325191
Nevada,1982,-1.965498176574698
Nevada,1983,-2.205395881652834
Nevada,1984,-2.371198753356936
Nevada,1985,-.7471972885131777
Nevada,1986,-.5667026672363278
Nevada,1987,-2.548899429321281
Nevada,1988,.0104994125366176
Nevada,1989,-5.765597145080562
Nevada,1990,-5.583396148681643
Nevada,1991,-12.07740361785889
Nevada,1992,-13.90369921112061
Nevada,1993,-18.65869729614258
Nevada,1994,-24.74600085449219
Nevada,1995,-25.07939851379395
Nevada,1996,-26.16970011901856
Nevada,1997,-30.72040022277832
Nevada,1998,-26.81360078430176
Nevada,1999,-30.3561992034912
Nevada,2000,-28.36070262145995
New Mexico,1970,5.92190017700193
New Mexico,1971,2.082801437377924
New Mexico,1972,-.793102462768573
New Mexico,1973,-.9953970565795913
New Mexico,1974,-.2474027404785062
New Mexico,1975,.0174990386962861
New Mexico,1976,.1375009613037008
New Mexico,1977,.5989006042480298
New Mexico,1978,1.033900100707996
New Mexico,1979,-1.018899436950676
New Mexico,1980,-.3211033477783332
New Mexico,1981,-1.625599853515638
New Mexico,1982,-1.56929950714111
New Mexico,1983,-.576095954895024
New Mexico,1984,1.325901420593269
New Mexico,1985,-.4738961486816322
New Mexico,1986,-.1302058639526535
New Mexico,1987,-2.180197868347179
New Mexico,1988,-1.559199752807615
New Mexico,1989,-7.606696769714361
New Mexico,1990,-9.714497749328615
New Mexico,1991,-13.48750269317627
New Mexico,1992,-14.17380014801026
New Mexico,1993,-17.84219802856445
New Mexico,1994,-22.20809957122803
New Mexico,1995,-22.2548992767334
New Mexico,1996,-23.10640041351319
New Mexico,1997,-24.05910131072999
New Mexico,1998,-22.29200006866455
New Mexico,1999,-26.49209963989259
New Mexico,2000,-25.86970117187501
Utah,1970,7.138099624633782
Utah,1971,3.417001037597657
Utah,1972,-.4261036529540974
Utah,1973,-.19559886169435
Utah,1974,1.037095199584954
Utah,1975,-.0139997863769565
Utah,1976,1.459600540161134
Utah,1977,1.960999786376959
Utah,1978,2.310999786376954
Utah,1979,-.146999176025389
Utah,1980,-1.765700576782223
Utah,1981,-2.646100799560543
Utah,1982,-.6113994750976701
Utah,1983,-2.633098495483409
Utah,1984,1.157101287841783
Utah,1985,-1.283096534728998
Utah,1986,-3.225702568054203
Utah,1987,-1.918301460266107
Utah,1988,-4.114698463439936
Utah,1989,-8.009898483276373
Utah,1990,-9.508499610900884
Utah,1991,-13.78890341186523
Utah,1992,-14.38150131225586
Utah,1993,-16.38009788513185
Utah,1994,-20.01409876251222
Utah,1995,-20.35329916381835
Utah,1996,-20.58009793853759
Utah,1997,-17.9877004699707
Utah,1998,-21.27979975128173
Utah,1999,-24.55929991912842
Utah,2000,-23.48500055694581
