year,gap
1970,1.005499999999998
1971,-1.241498397827144
1972,-.1102039794921836
1973,-.0626984558105335
1974,-.8257021179199171
1975,.1135993804931701
1976,.3186007843017649
1977,.5457995452880908
1978,.7647990112304655
1979,-2.10349938964842
1980,-.8007032012939419
1981,-1.075299667358394
1982,-.2186987304687307
1983,-1.204195495605461
1984,1.147600128173821
1985,-3.464096023559577
1986,-3.717605438232425
1987,-8.797498001098631
1988,-8.516500732421875
